burned;dim;empty;finalTime;forest;simulations
8;20;0.6;100;144;"2_execution_dim_20_empty_0.6_"
7;20;0.6;100;146;"3_execution_dim_20_empty_0.6_"
4;20;0.61;100;153;"1_execution_dim_20_empty_0.61_"
11;20;0.61;100;141;"2_execution_dim_20_empty_0.61_"
10;20;0.61;100;157;"3_execution_dim_20_empty_0.61_"
3;20;0.62;100;142;"1_execution_dim_20_empty_0.62_"
7;20;0.62;100;147;"2_execution_dim_20_empty_0.62_"
9;20;0.62;100;146;"3_execution_dim_20_empty_0.62_"
1;20;0.63;100;145;"1_execution_dim_20_empty_0.63_"
14;20;0.63;100;133;"2_execution_dim_20_empty_0.63_"
29;20;0.63;100;127;"3_execution_dim_20_empty_0.63_"
5;20;0.64;100;134;"1_execution_dim_20_empty_0.64_"
16;20;0.64;100;152;"2_execution_dim_20_empty_0.64_"
10;20;0.64;100;136;"3_execution_dim_20_empty_0.64_"
1;20;0.65;100;149;"1_execution_dim_20_empty_0.65_"
2;20;0.65;100;142;"2_execution_dim_20_empty_0.65_"
2;20;0.65;100;135;"3_execution_dim_20_empty_0.65_"
4;20;0.66;100;142;"1_execution_dim_20_empty_0.66_"
2;20;0.66;100;126;"2_execution_dim_20_empty_0.66_"
3;20;0.66;100;125;"3_execution_dim_20_empty_0.66_"
2;20;0.67;100;132;"1_execution_dim_20_empty_0.67_"
1;20;0.67;100;124;"2_execution_dim_20_empty_0.67_"
1;20;0.67;100;130;"3_execution_dim_20_empty_0.67_"
4;20;0.68;100;135;"1_execution_dim_20_empty_0.68_"
2;20;0.68;100;150;"2_execution_dim_20_empty_0.68_"
1;20;0.68;100;131;"3_execution_dim_20_empty_0.68_"
10;20;0.69;100;122;"1_execution_dim_20_empty_0.69_"
8;20;0.69;100;131;"2_execution_dim_20_empty_0.69_"
8;20;0.69;100;117;"3_execution_dim_20_empty_0.69_"
11;20;0.7;100;103;"1_execution_dim_20_empty_0.7_"
7;20;0.7;100;109;"2_execution_dim_20_empty_0.7_"
1;20;0.7;100;131;"3_execution_dim_20_empty_0.7_"
3;20;0.71;100;114;"1_execution_dim_20_empty_0.71_"
6;20;0.71;100;101;"2_execution_dim_20_empty_0.71_"
3;20;0.71;100;114;"3_execution_dim_20_empty_0.71_"
1;20;0.72;100;123;"1_execution_dim_20_empty_0.72_"
1;20;0.72;100;113;"2_execution_dim_20_empty_0.72_"
2;20;0.72;100;100;"3_execution_dim_20_empty_0.72_"
1;20;0.73;100;96;"1_execution_dim_20_empty_0.73_"
1;20;0.73;100;114;"2_execution_dim_20_empty_0.73_"
1;20;0.73;100;115;"3_execution_dim_20_empty_0.73_"
3;20;0.74;100;96;"1_execution_dim_20_empty_0.74_"
4;20;0.74;100;91;"2_execution_dim_20_empty_0.74_"
5;20;0.74;100;107;"3_execution_dim_20_empty_0.74_"
3;20;0.75;100;108;"1_execution_dim_20_empty_0.75_"
9;20;0.75;100;98;"2_execution_dim_20_empty_0.75_"
2;20;0.75;100;94;"3_execution_dim_20_empty_0.75_"
